ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,qc_log
U217,2015-05-21-D07-SO-26,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U207,2015-05-15-D05-SO-27,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U208,2015-05-15-D05-SO-24,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U209,2015-05-15-D05-SO-26,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U210,2015-05-21-D07-SO-24,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U241,2015-05-21-D07-SO-27,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U200,2015-05-15-D05-SO-30,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U231,2015-05-15-D05-SO-22,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U232,2015-05-15-D05-SO-23,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U233,2015-05-21-D07-SO-23,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U234,2015-05-21-D07-SO-28,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U235,2015-05-21-D07-SO-22,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U127,2015-05-15-D05-SO-29,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U218,2015-05-21-D07-SO-25,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U219,2015-06-05-D07-SO-8,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U220,2015-06-05-D07-SO-4,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U221,2015-06-05-D07-SO-9,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U222,2015-06-05-D07-SO-7,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U223,2015-07-02-D09-SO-1,DE231N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U242,2015-06-05-D07-SO-10,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U243,2015-06-05-D07-SO-1,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U244,2015-06-05-D07-SO-3,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U245,2015-07-02-D09-SO-8,DE231N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U246,2015-07-02-D09-SO-3,DE231N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U236,2015-05-21-D07-SO-30,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U237,2015-06-05-D07-SO-2,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U238,2015-06-05-D07-SO-6,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U239,2015-06-05-D07-SO-5,DE163N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U240,2015-07-02-D09-SO-6,DE231N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U128,2015-05-21-D07-SO-21,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
