survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
JE234,2016-05-21,J07,"Sean Godwin, Chris Guinchard, Clare Atkinson",none,0,1,0.1-5,NW,NA,NA,NA,2,NA,1,NA,NA,standard,NA
JE235,2016-05-21,J04,"Sean Godwin, Chris Guinchard, Clare Atkinson, Mirko Diaz",none,0,1,0.1-5,NW,NA,NA,NA,3,NA,1,NA,NA,standard,"few small cryptic schools, unable to catch"
JE236,2016-05-21,J08,"Sean Godwin, Chris Guinchard, Clare Atkinson",none,25,1,0.1-5,NW,NA,NA,NA,1,7.5,1,NA,NA,standard,NA
JE237,2016-05-22,J09,"Sean Godwin, Mirko Diaz, Clare Atkinson",none,25,0,0,NA,NA,NA,NA,1,NA,1,NA,NA,standard,forgot Secchi
JE238,2016-05-22,J10,"Sean Godwin, Mirko Diaz, Clare Atkinson",none,25,0,0,NA,NA,NA,NA,1,10,1,NA,NA,standard,NA
JE239,2016-05-22,J03,"Sean Godwin, Mirko Diaz, Clare Atkinson",none,25,3,10-15,NW,NA,NA,NA,2,NA,NA,NA,NA,standard,"Few good schools, bad current and wind. Set twice, difficult condition, no fish, forgot YSI and secchi"
JE240,2016-05-22,J02,"Sean Godwin, Mirko Diaz, Clare Atkinson",none,25,2,10-15,NW,NA,NA,NA,1,12,1,NA,NA,standard,NA
JE241,2016-05-22,J01,"Sean Godwin, Mirko Diaz, Clare Atkinson",none,50,3,5-10,NW,NA,NA,NA,0,8.5,1,NA,NA,standard,"Bad weather, no fish"
JE242,2016-05-26,J08,"Sean Godwin, Shannon Mendt, Brett Johnson",none,100,2,0.1-5,NW,NA,NA,NA,0,7,1,NA,1,standard,NA
JE243,2016-05-26,J04,"Sean Godwin, Shannon Mendt, Brett Johnson",none,100,1,0.1-5,NW,NA,NA,NA,2,10.5,1,NA,NA,standard,"flow-meter did not rotate, did not retain sample"
JE244,2016-05-26,J05,"Sean Godwin, Shannon Mendt, Brett Johnson",none,100,3,5-10,NW,NA,NA,NA,1,10.5,1,NA,NA,standard,NA
JE245,2016-05-27,J06,"Sean Godwin, Brianna Knowles, Brett Johnson",none,75,2,0.1-5,NW,NA,NA,NA,2,8.5,1,NA,1,standard,NA
JE246,2016-05-27,J07,"Sean Godwin, Brianna Knowles, Brett Johnson",none,50,3,5-10,NW,NA,NA,NA,1,8,1,NA,1,standard,NA
